,datetime_utc,yes_best_ask_price,yes_best_ask_size,yes_best_bid_price,yes_best_bid_size,no_best_ask_price,no_best_ask_size,no_best_bid_price,no_best_bid_size,arb_gap,yes_best_mid_price,no_best_mid_price,yes_best_mid_std,no_best_mid_std,cheap_yes,cheap_no,yes_imbalance,no_imbalance,pair_best_ask_price,timestamp,price_Down,price_Up,size_Down,size_Up
397,2026-01-18 19:52:49.580,0.12,197.61,0.11,266.39,0.89,266.39,0.88,197.61,0.010000000000000009,0.11499999999999999,0.885,0.04405280601180911,0.04405280601180689,0,0,0.1482327586206896,-0.1482327586206896,1.01,,,,,
398,2026-01-18 19:52:50.604,0.12,201.65,0.11,255.44,0.89,255.44,0.88,201.65,0.010000000000000009,0.11499999999999999,0.885,0.04390668070088484,0.043906680700882564,0,0,0.1176792316611608,-0.1176792316611608,1.01,,,,,
399,2026-01-18 19:52:51.825,0.12,547.65,0.11,208.53,0.89,208.53,0.88,547.65,0.010000000000000009,0.11499999999999999,0.885,0.043650835962509946,0.0436508359625076,0,0,-0.4484646512735063,0.4484646512735063,1.01,,,,,
400,2026-01-18 19:52:52.727,0.11,84.0,0.1,931.98,0.9,931.98,0.89,84.0,0.010000000000000009,0.10500000000000001,0.895,0.04352380996533126,0.04352380996532886,0,0,0.8346424142207524,-0.8346424142207524,1.01,,,,,
401,2026-01-18 19:52:53.787,0.11,54.5,0.1,672.1,0.9,672.1,0.89,54.5,0.010000000000000009,0.10500000000000001,0.895,0.043268639234934375,0.04326863923493191,0,0,0.8499862372694743,-0.8499862372694743,1.01,,,,,
402,2026-01-18 19:52:55.108,0.11,52.5,0.1,557.1,0.9,557.1,0.89,62.5,0.010000000000000009,0.10500000000000001,0.895,0.04288303629944891,0.04288303629944637,0,0,0.827755905511811,-0.7982569399612653,1.01,,,,,
403,2026-01-18 19:52:55.981,0.11,83.93,0.1,529.1,0.9,529.1,0.89,83.93,0.010000000000000009,0.10500000000000001,0.895,0.0423634396260398,0.04236343962603718,0,0,0.7261797954423111,-0.7261797954423111,1.01,,,,,
404,2026-01-18 19:52:56.998,0.11,416.93,0.1,558.6,0.9,558.6,0.89,416.93,0.010000000000000009,0.10500000000000001,0.895,0.04170484126945818,0.04170484126945547,0,0,0.14522362203110106,-0.14522362203110106,1.01,,,,,
405,2026-01-18 19:52:58.098,0.11,426.93,0.1,503.93,0.9,503.93,0.89,426.93,0.010000000000000009,0.10500000000000001,0.895,0.04123105625617622,0.04123105625617344,0,0,0.0827192058956234,-0.0827192058956234,1.01,,,,,
406,2026-01-18 19:52:59.198,0.11,456.43,0.1,497.21,0.9,497.21,0.89,456.43,0.010000000000000009,0.10500000000000001,0.895,0.04063444588142386,0.04063444588142098,0,0,0.042762468017281126,-0.042762468017281126,1.01,,,,,
407,2026-01-18 19:53:00.395,0.12,119.25,0.11,29.55,0.89,29.55,0.88,109.25,0.010000000000000009,0.11499999999999999,0.885,0.03971473136010893,0.03971473136010594,0,0,-0.6028225806451613,0.5742074927953891,1.01,,,,,
408,2026-01-18 19:53:01.549,0.12,19.16,0.11,212.43,0.89,212.43,0.88,19.16,0.010000000000000009,0.11499999999999999,0.885,0.0386681521242034,0.03866815212420028,0,0,0.8345351699123451,-0.8345351699123451,1.01,,,,,
409,2026-01-18 19:53:02.660,0.12,34.16,0.11,223.55,0.89,223.55,0.88,34.16,0.010000000000000009,0.11499999999999999,0.885,0.037484083251096235,0.03748408325109296,0,0,0.734895813123278,-0.734895813123278,1.01,,,,,
410,2026-01-18 19:53:03.966,0.13,135.5,0.12,339.55,0.88,339.55,0.87,135.5,0.010000000000000009,0.125,0.875,0.03600847357902717,0.036008473579023724,0,0,0.4295337332912325,-0.4295337332912325,1.01,,,,,
411,2026-01-18 19:53:05.250,0.11,21.55,0.1,979.5,0.9,979.5,0.89,31.55,0.010000000000000009,0.10500000000000001,0.895,0.03469438809046392,0.034694388090460285,0,0,0.9569452075320914,-0.9375896345383513,1.01,,,,,
412,2026-01-18 19:53:06.446,0.11,10.0,0.1,538.0,0.89,12.27,0.88,450.65,0.0,0.10500000000000001,0.885,0.03318498060648946,0.03300188318543396,0,0,0.9635036496350365,0.9469886805495551,1.0,,,,,
413,2026-01-18 19:53:07.550,0.12,27.89,0.11,30.0,0.89,92.0,0.88,27.89,0.010000000000000009,0.11499999999999999,0.885,0.031270642899444964,0.031087174676677296,0,0,0.03644843669027465,-0.5347401784969555,1.01,,,,,
414,2026-01-18 19:53:08.883,0.13,104.8,0.12,729.93,0.88,729.93,0.87,104.8,0.010000000000000009,0.125,0.875,0.029475643492924967,0.02929057618257205,0,0,0.7489008421884922,-0.7489008421884922,1.01,,,,,
