,imbalance,relative_imbalance,position_imbalance,trade_size,imbalance_persistence,time_remaining,pnl,roi,pair_cost,matched_pairs,total_trades,final_position_imbalance,marginal_cost_improvement
156,-0.40000000000000013,0.2,0.4,75,2,30,3.7126597502330356,0.37126597502330355,0.9900128167284885,773.0665217136025,151.9,0.2617157213089214,0.002
163,-0.40000000000000013,0.4,0.2,25,2,30,-1.6531010442398384,-0.1653101044239838,0.9970543172120717,868.6404358971437,142.0,0.1441885775118587,0.001
166,-0.40000000000000013,0.4,0.2,50,6,60,0.31442111953670066,0.03144211195367008,0.9926888189973486,544.883265369721,49.3,0.30758591986375844,0.001
169,-0.40000000000000013,0.4,0.30000000000000004,50,6,60,4.4776480763278865,0.4477648076327889,0.9933134882318827,571.3074742090381,52.6,0.3131946683861456,0.002
170,-0.40000000000000013,0.4,0.30000000000000004,75,6,60,3.9097308942787548,0.39097308942787584,0.9925608606106857,599.5615761829602,51.5,0.2999252096629766,0.002
171,-0.40000000000000013,0.4,0.4,50,2,30,-4.420727434054777,-0.44207274340547764,0.9993954573079818,777.4972975084793,146.0,0.24614159701724908,0.002
172,-0.40000000000000013,0.4,0.4,50,6,30,6.488207316031355,0.648820731603136,0.9970324682229872,576.0039699969897,56.3,0.3279944570501652,0.0015
173,-0.40000000000000013,0.6000000000000001,0.1,25,6,60,8.122525951201135,0.8122525951201135,0.9986515950366215,421.89243972463464,41.3,0.16960133630210578,0.002
174,-0.40000000000000013,0.6000000000000001,0.1,50,6,30,11.52508559066249,1.1525085590662492,0.9887945733748948,478.58397657077455,42.1,0.24680752519474383,0.0015
175,-0.40000000000000013,0.6000000000000001,0.1,50,6,60,13.038222003645775,1.3038222003645774,0.986904102122422,477.83397657077455,40.1,0.24232056440908986,0.001
176,-0.40000000000000013,0.6000000000000001,0.1,75,6,30,10.705161259714647,1.0705161259714648,0.9934490199486019,494.55947217068643,41.9,0.25703810345351386,0.0015
179,-0.40000000000000013,0.6000000000000001,0.2,25,6,60,19.71711113685901,1.9717111136859011,0.9712792442240625,465.0294071442062,47.2,0.28811855856082114,0.002
184,-0.40000000000000013,0.6000000000000001,0.30000000000000004,50,6,30,2.2389498069741194,0.22389498069741193,0.9935366769216885,513.8811619730031,47.6,0.30382029431271074,0.002
185,-0.40000000000000013,0.6000000000000001,0.30000000000000004,50,6,60,2.072225747131097,0.2072225747131097,0.993654327728985,513.1311619730031,47.5,0.3041789238514926,0.002
187,-0.40000000000000013,0.6000000000000001,0.4,25,2,60,-3.5297272259560715,-0.3529727225956073,0.9992617888443714,866.114999279114,155.2,0.14302575558696987,0.001
189,-0.40000000000000013,0.6000000000000001,0.4,50,6,60,7.1368335344079465,0.7136833534407946,0.9898838766360571,508.19396516288873,50.5,0.34242763484070593,0.002
